SERIES.MATCH,EVENT,MATCH,ROUND,HALF,POSS,TEAM,OPP,SOURCE,START,END,LOST,SOURCE NOTE,LOST NOTE
6,GC7s,6,Pool,1,3,ASM,KEN,Intercept,2,2,HE,,HE: knock on
6,GC7s,6,Pool,1,4,KEN,ASM,Scrum,14,11,Intercepted,,
6,GC7s,6,Pool,1,5,ASM,KEN,Intercept,5,7,Tackled to touch,,
6,GC7s,6,Pool,1,6,KEN,ASM,Line out,9,14,TRY,Line out: quick,TRY: converted
6,GC7s,6,Pool,1,7,KEN,ASM,Reclaim,10,13,Tackled to touch,,
6,GC7s,6,Pool,1,8,ASM,KEN,Line out,3,3,Line out stolen,,
6,GC7s,6,Pool,1,9,KEN,ASM,Line out steal,13,13,TRY,,TRY: converted
6,GC7s,6,Pool,1,10,ASM,KEN,Restart,6,11,Poached,,Poached: lost in standing tackle
6,GC7s,6,Pool,1,11,KEN,ASM,Poach,5,15,TRY,,TRY: converted
6,GC7s,6,Pool,2,12,ASM,KEN,Restart,6,7,Kick,,
6,GC7s,6,Pool,2,13,KEN,ASM,Kick,9,9,HE,,HE: lost fwd in tackle
6,GC7s,6,Pool,2,14,ASM,KEN,Scrum,7,8,PEN,,PEN: collapsing the ruck
6,GC7s,6,Pool,2,15,KEN,ASM,PK,8,14,TRY,PK: collapsing the ruck,TRY: converted
6,GC7s,6,Pool,2,16,ASM,KEN,Restart,5,7,Intercepted,,
6,GC7s,6,Pool,2,17,KEN,ASM,Intercept,9,14,PEN,,PEN: bc not releasing
6,GC7s,6,Pool,2,18,ASM,KEN,PK,2,5,PEN,PK: bc not releasing,PEN: diving over
6,GC7s,6,Pool,2,19,KEN,ASM,PK,11,14,TRY,,TRY: converted
6,GC7s,6,Pool,2,20,ASM,KEN,Restart,6,8,Counter ruck,,
6,GC7s,6,Pool,2,21,KEN,ASM,Counter ruck,2,9,HE,,HE: knock on
6,GC7s,6,Pool,2,22,ASM,KEN,Scrum,7,8,HE,,HE: knock on
7,GC7s,7,Pool,1,1,FIJ,SCO,Reclaim,10,14,HE,,HE: knock on in goal
7,GC7s,7,Pool,1,2,SCO,FIJ,Scrum,2,3,PEN,,PEN: diving over
7,GC7s,7,Pool,1,3,FIJ,SCO,PK,13,14,TRY,PK: diving over,TRY: converted
7,GC7s,7,Pool,1,4,SCO,FIJ,Restart,5,10,Tackled to touch,,
7,GC7s,7,Pool,1,5,FIJ,SCO,Line out,6,14,HE,Line out: quick,HE: knock on
7,GC7s,7,Pool,1,6,SCO,FIJ,Scrum,2,2,Kick,,
7,GC7s,7,Pool,1,7,FIJ,SCO,Kick,7,14,TRY,,TRY: converted
7,GC7s,7,Pool,1,8,FIJ,SCO,Reclaim,10,13,Intercepted,,
7,GC7s,7,Pool,1,9,SCO,FIJ,Intercept,3,14,TRY,,TRY: converted
7,GC7s,7,Pool,2,10,SCO,FIJ,Reclaim,12,12,PEN,,PEN: bc not releasing
7,GC7s,7,Pool,2,11,FIJ,SCO,PK,4,14,TRY,PK: bc not releasing,TRY: converted
7,GC7s,7,Pool,2,12,SCO,FIJ,Restart,6,6,PEN,,PEN: bc not releasing
7,GC7s,7,Pool,2,13,FIJ,SCO,PK,10,14,TRY,PK: bc not releasing,TRY: converted
7,GC7s,7,Pool,2,14,SCO,FIJ,Restart,6,8,Poached,,
7,GC7s,7,Pool,2,15,FIJ,SCO,Poach,8,13,TRY,,
7,GC7s,7,Pool,2,16,FIJ,SCO,Reclaim,12,14,TRY,,TRY: converted
7,GC7s,7,Pool,2,17,FIJ,SCO,Reclaim,8,7,Intercepted,,
7,GC7s,7,Pool,2,18,SCO,FIJ,Intercept,9,14,Intercepted,,
7,GC7s,7,Pool,2,19,FIJ,SCO,Intercept,2,15,Kick,,
7,GC7s,7,Pool,2,20,SCO,FIJ,Kick,1,8,HE,,HE: lost fwd in tackle
8,GC7s,8,Pool,1,1,POR,AUS,Restart,4,7,Maul,,Maul: held up
8,GC7s,8,Pool,1,2,AUS,POR,Scrum,9,14,TRY,,TRY: converted
8,GC7s,8,Pool,1,3,POR,AUS,Restart,6,6,Poached,,Poached: lost in standing tackle
8,GC7s,8,Pool,1,4,AUS,POR,Poach,10,13,TRY,,
8,GC7s,8,Pool,1,5,POR,AUS,FK,8,10,Maul,FK: restart not 10 by kicking team,Maul: held up
8,GC7s,8,Pool,1,6,AUS,POR,Scrum,6,14,TRY,,TRY: converted
8,GC7s,8,Pool,2,7,POR,AUS,Reclaim,8,10,Tackled to touch,,
8,GC7s,8,Pool,2,8,AUS,POR,Line out,6,12,Intercepted,,
8,GC7s,8,Pool,2,9,POR,AUS,Intercept,4,4,Intercepted,,
8,GC7s,8,Pool,2,10,AUS,POR,Intercept,12,13,TRY,,
8,GC7s,8,Pool,2,11,AUS,POR,Reclaim,10,13,TRY,,
8,GC7s,8,Pool,2,12,POR,AUS,Scrum,4,4,HE,Scrum: restart knocked by kicking team,HE: knock on
9,GC7s,9,Pool,1,1,USA,ENG,Restart,6,7,PEN,,PEN: bc not releasing
9,GC7s,9,Pool,1,2,ENG,USA,PK,9,13,Line out infraction,PK: bc not releasing,Line out: not straight
9,GC7s,9,Pool,1,3,USA,ENG,Scrum,3,15,PEN,,PEN: bc not releasing
9,GC7s,9,Pool,1,4,ENG,USA,PK,1,12,Tackled to touch,PK: bc not releasing,
9,GC7s,9,Pool,1,5,USA,ENG,Line out,4,14,Poached,,
9,GC7s,9,Pool,1,6,ENG,USA,Poach,2,14,TRY,,TRY: converted
9,GC7s,9,Pool,2,7,USA,ENG,Reclaim,11,13,PEN,,PEN: diving over
9,GC7s,9,Pool,2,8,ENG,USA,PK,3,8,HE,PK: diving over,HE: knock on
9,GC7s,9,Pool,2,9,USA,ENG,Scrum,8,8,Intercepted,,
9,GC7s,9,Pool,2,10,ENG,USA,Intercept,8,8,PEN,,PEN: bc not releasing
9,GC7s,9,Pool,2,11,USA,ENG,PK,8,14,TRY,PK: bc not releasing,TRY: converted
9,GC7s,9,Pool,2,12,ENG,USA,Restart,4,7,Counter ruck,,
9,GC7s,9,Pool,2,13,USA,ENG,Counter ruck,9,6,HE,,HE: thrown to touch
9,GC7s,9,Pool,2,14,ENG,USA,Line out,10,10,Line out stolen,,
9,GC7s,9,Pool,2,15,USA,ENG,Line out steal,6,12,Poached,,
9,GC7s,9,Pool,2,16,ENG,USA,Poach,4,14,TRY,,TRY: converted
9,GC7s,9,Pool,2,17,USA,ENG,FK,8,8,PEN,FK: restart direct to touch by kicking team,PEN: obstruction
9,GC7s,9,Pool,2,18,ENG,USA,PK,8,8,Kicked to touch,PK: obstruction,
10,GC7s,10,Pool,1,1,ARG,CAN,Restart,3,13,PEN,,PEN: bc not releasing
10,GC7s,10,Pool,1,2,CAN,ARG,PK,13,14,TRY,PK: bc not releasing,
10,GC7s,10,Pool,1,3,ARG,CAN,Restart,6,6,Intercepted,,
10,GC7s,10,Pool,1,4,CAN,ARG,Intercept,10,8,Kick,,
10,GC7s,10,Pool,1,5,ARG,CAN,Kick,2,2,Tackled in goal,,
10,GC7s,10,Pool,1,6,CAN,ARG,Scrum,14,14,TRY,,TRY: converted
10,GC7s,10,Pool,1,7,ARG,CAN,Restart,3,14,TRY,,TRY: converted
10,GC7s,10,Pool,1,8,CAN,ARG,Restart,5,5,Poached,,
10,GC7s,10,Pool,1,9,ARG,CAN,Poach,11,11,HE,,HE: knock on
10,GC7s,10,Pool,1,10,CAN,ARG,Scrum,5,5,Kicked to touch,,
10,GC7s,10,Pool,2,11,CAN,ARG,Restart,6,14,PEN,,PEN: hands in the ruck
10,GC7s,10,Pool,2,12,ARG,CAN,PK,2,14,TRY,PK: hands in the ruck,TRY: converted
10,GC7s,10,Pool,2,13,CAN,ARG,Restart,4,9,HE,,HE: knock on
10,GC7s,10,Pool,2,14,ARG,CAN,Scrum,7,13,Line out stolen,,
10,GC7s,10,Pool,2,15,CAN,ARG,Line out steal,3,4,HE,,HE: knock on
10,GC7s,10,Pool,2,16,ARG,CAN,Scrum,12,15,Intercepted,,
10,GC7s,10,Pool,2,17,CAN,ARG,Intercept,1,1,HE,,HE: forward pass
11,GC7s,11,Pool,1,1,JPN,NZL,Restart,4,5,Counter ruck,,
11,GC7s,11,Pool,1,2,NZL,JPN,Counter ruck,11,13,TRY,,TRY: converted
11,GC7s,11,Pool,1,3,NZL,JPN,Reclaim,10,14,TRY,,TRY: converted
11,GC7s,11,Pool,1,4,JPN,NZL,Restart,5,8,Poached,,
11,GC7s,11,Pool,1,5,NZL,JPN,Poach,8,13,TRY,,TRY: converted
11,GC7s,11,Pool,1,6,JPN,NZL,Restart,6,5,Intercepted,,
11,GC7s,11,Pool,1,7,NZL,JPN,Intercept,11,14,TRY,,TRY: converted
11,GC7s,11,Pool,1,8,NZL,JPN,Reclaim,11,14,TRY,,TRY: converted
11,GC7s,11,Pool,2,9,JPN,NZL,Scrum,10,14,PEN,Scrum: restart knocked by kicking team,PEN: collapsing the ruck
11,GC7s,11,Pool,2,10,NZL,JPN,PK,2,9,Line out stolen,PK: collapsing the ruck,
11,GC7s,11,Pool,2,11,JPN,NZL,Line out steal,7,11,HE,,HE: knock on
11,GC7s,11,Pool,2,12,NZL,JPN,Scrum,5,15,TRY,,
11,GC7s,11,Pool,2,13,JPN,NZL,Restart,4,5,Counter ruck,,
11,GC7s,11,Pool,2,14,NZL,JPN,Counter ruck,11,14,TRY,,TRY: converted
11,GC7s,11,Pool,2,15,NZL,JPN,Reclaim,11,13,TRY,,
11,GC7s,11,Pool,2,16,NZL,JPN,Reclaim,12,14,TRY,,TRY: converted
12,GC7s,12,Pool,1,1,FRA,SAM,Restart,6,14,TRY,,TRY: converted
12,GC7s,12,Pool,1,2,SAM,FRA,Restart,6,13,Tackled to touch,,
12,GC7s,12,Pool,1,3,FRA,SAM,Line out,3,1,Scrum stolen,,
12,GC7s,12,Pool,1,4,SAM,FRA,Scrum steal,15,15,PEN,,PEN: bc not releasing
12,GC7s,12,Pool,1,5,FRA,SAM,PK,1,14,PEN,PK: bc not releasing,PEN: double move
12,GC7s,12,Pool,1,6,SAM,FRA,PK,2,1,Poached,PK: double move,
12,GC7s,12,Pool,1,7,FRA,SAM,Poach,15,15,HE,,HE: knock on
12,GC7s,12,Pool,1,8,SAM,FRA,Scrum,1,14,TRY,,TRY: converted
12,GC7s,12,Pool,1,9,FRA,SAM,Restart,6,6,HE,,HE: lost fwd in tackle
12,GC7s,12,Pool,1,10,SAM,FRA,Scrum,10,14,Poached,,
12,GC7s,12,Pool,1,11,FRA,SAM,Poach,2,1,HE,,HE: lost fwd in tackle
12,GC7s,12,Pool,2,12,SAM,FRA,Restart,6,5,Intercepted,,
12,GC7s,12,Pool,2,13,FRA,SAM,Intercept,11,15,TRY,,
12,GC7s,12,Pool,2,14,SAM,FRA,Restart,6,8,PEN,,PEN: bc not releasing
12,GC7s,12,Pool,2,15,FRA,SAM,PK,8,12,Kick,PK: bc not releasing,
12,GC7s,12,Pool,2,16,SAM,FRA,Kick,1,11,Intercepted,,
12,GC7s,12,Pool,2,17,FRA,SAM,Intercept,5,6,Tackled to touch,,
12,GC7s,12,Pool,2,18,SAM,FRA,Line out,10,10,Line out stolen,,
12,GC7s,12,Pool,2,19,FRA,SAM,Line out steal,6,5,Counter ruck,,
12,GC7s,12,Pool,2,20,SAM,FRA,Counter ruck,11,14,TRY,,TRY: converted
12,GC7s,12,Pool,2,21,SAM,FRA,Scrum,11,11,Intercepted,Scrum: restart knocked by receiving team,
12,GC7s,12,Pool,2,22,FRA,SAM,Intercept,5,7,HE,,HE: lost fwd in tackle
12,GC7s,12,Pool,2,23,SAM,FRA,FK,9,14,Intercepted,,
12,GC7s,12,Pool,2,24,FRA,SAM,Intercept,2,2,Intercepted,,
12,GC7s,12,Pool,2,25,SAM,FRA,Intercept,14,13,TRY,,
13,GC7s,13,Pool,1,1,ASM,RSA,Restart,4,4,HE,,HE: lost fwd in tackle
13,GC7s,13,Pool,1,2,RSA,ASM,Scrum,12,14,Intercepted,,
13,GC7s,13,Pool,1,3,ASM,RSA,Intercept,2,2,Kick,,
13,GC7s,13,Pool,1,4,RSA,ASM,Kick,7,11,HE,,HE: knock on
13,GC7s,13,Pool,1,5,ASM,RSA,Scrum,5,5,PEN,,PEN: tripping
13,GC7s,13,Pool,1,6,RSA,ASM,PK,11,11,HE,PK: tripping,HE: knock on
13,GC7s,13,Pool,1,7,ASM,RSA,Scrum,5,5,Scrum infraction,,
13,GC7s,13,Pool,1,8,RSA,ASM,FK,11,14,TRY,FK: scrum infraction,TRY: converted
13,GC7s,13,Pool,1,9,RSA,ASM,Scrum,12,14,TRY,Scrum: restart knocked by receiving team,
13,GC7s,13,Pool,1,10,RSA,ASM,Reclaim,9,15,TRY,,
13,GC7s,13,Pool,1,11,ASM,RSA,Restart,4,3,HE,,HE: fwd pass
13,GC7s,13,Pool,2,12,RSA,ASM,Restart,5,14,TRY,,TRY: converted
13,GC7s,13,Pool,2,13,ASM,RSA,FK,8,8,PEN,FK: restart direct to touch by kicking team,PEN: bc not releasing
13,GC7s,13,Pool,2,14,RSA,ASM,PK,8,14,TRY,PK: bc not releasing,
13,GC7s,13,Pool,2,15,ASM,RSA,Restart,4,7,Poached,,Poached: wrong side poach
13,GC7s,13,Pool,2,16,RSA,ASM,Poach,9,13,TRY,,TRY: converted
13,GC7s,13,Pool,2,17,ASM,RSA,Restart,5,2,Intercepted,,
13,GC7s,13,Pool,2,18,RSA,ASM,Intercept,14,14,TRY,,
13,GC7s,13,Pool,2,19,ASM,RSA,Restart,4,1,PEN,,PEN: bc not releasing
13,GC7s,13,Pool,2,20,RSA,ASM,PK,15,13,TRY,PK: bc not releasing,TRY: converted
14,GC7s,14,Pool,1,1,WAL,KEN,Restart,3,14,TRY,,
14,GC7s,14,Pool,1,2,KEN,WAL,Restart,4,2,Intercepted,,
14,GC7s,14,Pool,1,3,WAL,KEN,Intercept,14,14,TRY,,TRY: converted
14,GC7s,14,Pool,1,4,KEN,WAL,Restart,4,7,HE,,HE: knock on
14,GC7s,14,Pool,1,5,WAL,KEN,Scrum,9,7,PEN,,PEN: double move
14,GC7s,14,Pool,1,6,KEN,WAL,PK,9,12,HE,PK: double move,HE: knock on
14,GC7s,14,Pool,1,7,WAL,KEN,Line out,4,2,Kick,,
14,GC7s,14,Pool,1,8,KEN,WAL,Kick,8,14,HE,,HE: knock on
14,GC7s,14,Pool,1,9,WAL,KEN,Scrum,2,2,Kicked to touch,,
14,GC7s,14,Pool,2,10,WAL,KEN,Reclaim,10,13,TRY,,
14,GC7s,14,Pool,2,11,KEN,WAL,Restart,2,14,TRY,,
14,GC7s,14,Pool,2,12,WAL,KEN,Restart,5,5,PEN,,PEN: double move
14,GC7s,14,Pool,2,13,KEN,WAL,PK,11,14,TRY,PK: double move,TRY: converted
14,GC7s,14,Pool,2,14,KEN,WAL,Scrum,11,14,TRY,Scrum: restart knocked by receiving team,TRY: converted
14,GC7s,14,Pool,2,15,WAL,KEN,Restart,6,8,HE,,HE: knock on
14,GC7s,14,Pool,2,16,KEN,WAL,Scrum,8,8,Kick,,
14,GC7s,14,Pool,2,17,WAL,KEN,Kick,1,15,TRY,,TRY: converted
15,GC7s,15,Pool,1,1,FIJ,POR,Line out,10,14,HE,Line out: restart rolled to touch by kicking team,HE: fwd pass
15,GC7s,15,Pool,1,2,POR,FIJ,Scrum,2,2,PEN,,PEN: off side
15,GC7s,15,Pool,1,3,FIJ,POR,PK,13,15,TRY,PK: offside,TRY: converted
15,GC7s,15,Pool,1,4,POR,FIJ,Restart,6,1,HE,,HE: lost fwd in tackle
15,GC7s,15,Pool,1,5,FIJ,POR,Scrum,15,13,TRY,,
15,GC7s,15,Pool,1,6,FIJ,POR,Reclaim,7,11,HE,,HE: knock on
15,GC7s,15,Pool,1,7,POR,FIJ,Scrum,5,10,PEN,,PEN: bc not releasing
15,GC7s,15,Pool,1,8,FIJ,POR,PK,6,6,HE,PK: bc not releasing,HE: knock on
15,GC7s,15,Pool,2,9,FIJ,POR,Restart,6,13,TRY,,
15,GC7s,15,Pool,2,10,POR,FIJ,Restart,5,14,Poached,,
15,GC7s,15,Pool,2,11,FIJ,POR,Poach,2,13,Tackled in goal,,
15,GC7s,15,Pool,2,12,FIJ,POR,22,8,7,Intercepted,,
15,GC7s,15,Pool,2,13,POR,FIJ,Intercept,9,15,Tackled to touch,,
15,GC7s,15,Pool,2,14,FIJ,POR,Line out,1,14,TRY,,TRY: converted
15,GC7s,15,Pool,2,15,POR,FIJ,Scrum,6,2,PEN,Scrum: restart knocked by kicking team,PEN: collapsing the ruck
15,GC7s,15,Pool,2,16,FIJ,POR,PK,14,14,TRY,PK: collapsing the ruck,TRY: converted
15,GC7s,15,Pool,2,17,FIJ,POR,Reclaim,11,14,TRY,,TRY: converted
16,GC7s,16,Pool,1,1,AUS,SCO,Scrum,11,13,TRY,Scrum: restart knocked by receiving team,
16,GC7s,16,Pool,1,2,SCO,AUS,Restart,6,15,Intercepted,,
16,GC7s,16,Pool,1,3,AUS,SCO,Intercept,1,1,Intercepted,,
16,GC7s,16,Pool,1,4,SCO,AUS,Intercept,15,1,TRY,,TRY: converted
16,GC7s,16,Pool,1,5,AUS,SCO,FK,8,11,Poached,FK: restart direct to touch by kicking team,
16,GC7s,16,Pool,1,6,SCO,AUS,Poach,5,14,TRY,Poach: uncovered ruck,TRY: converted
16,GC7s,16,Pool,1,7,AUS,SCO,FK,8,10,HE,FK: restart not 10 by kicking team,HE: knock on
16,GC7s,16,Pool,1,8,SCO,AUS,PK,6,9,Kicked to touch,PK: collapsing the scrum,
16,GC7s,16,Pool,2,9,AUS,SCO,Restart,5,5,HE,,HE: knock on
16,GC7s,16,Pool,2,10,SCO,AUS,Scrum,11,11,Scrum stolen,,
16,GC7s,16,Pool,2,11,AUS,SCO,Scrum steal,5,2,Kicked to touch,,
16,GC7s,16,Pool,2,12,SCO,AUS,Line out,4,4,Line out infraction,,Line out: not straight
16,GC7s,16,Pool,2,13,AUS,SCO,Scrum,12,13,TRY,,TRY: converted
16,GC7s,16,Pool,2,14,AUS,SCO,Reclaim,11,14,TRY,,TRY: converted
16,GC7s,16,Pool,2,15,AUS,SCO,Reclaim,12,15,TRY,,
16,GC7s,16,Pool,2,16,SCO,AUS,Scrum,4,5,Counter ruck,Scrum: restart knocked by kicking team,Counter ruck: knock on
17,GC7s,17,Pool,1,1,ARG,USA,Restart,4,4,HE,,HE: lost fwd in tackle
17,GC7s,17,Pool,1,2,USA,ARG,Intercept,9,10,PEN,,PEN: bc not releasing
17,GC7s,17,Pool,1,3,ARG,USA,PK,6,13,TRY,PK: bc not releasing,
17,GC7s,17,Pool,1,4,USA,ARG,Restart,6,14,TRY,,TRY: converted
17,GC7s,17,Pool,1,5,ARG,USA,Restart,4,11,Intercepted,,
17,GC7s,17,Pool,1,6,USA,ARG,Intercept,2,3,Tackled to touch,,
17,GC7s,17,Pool,1,7,ARG,USA,Line out,13,14,TRY,,TRY: converted
17,GC7s,17,Pool,2,8,USA,ARG,Restart,6,3,PEN,,PEN: double move
17,GC7s,17,Pool,2,9,ARG,USA,PK,13,13,Tackled to touch,PK: double move,
17,GC7s,17,Pool,2,10,USA,ARG,Line out,3,7,HE,,HE: lost fwd in tackle
17,GC7s,17,Pool,2,11,ARG,USA,Scrum,9,7,Kick,,
